GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,0500000US02220,02220,United States - Alaska - Sitka City and Borough,Sitka City and Borough,70376,4235
0100000US,,United States,0500000US02230,02230,United States - Alaska - Skagway Municipality,Skagway Municipality,69318,6594
0100000US,,United States,0500000US02240,02240,United States - Alaska - Southeast Fairbanks Census Area,Southeast Fairbanks Census Area,62670,8682
0100000US,,United States,0500000US02261,02261,United States - Alaska - Valdez-Cordova Census Area,Valdez-Cordova Census Area,78810,5996
0100000US,,United States,0500000US02275,02275,United States - Alaska - Wrangell City and Borough,Wrangell City and Borough,48603,6199
0100000US,,United States,0500000US02282,02282,United States - Alaska - Yakutat City and Borough,Yakutat City and Borough,72500,17223
0100000US,,United States,0500000US02290,02290,United States - Alaska - Yukon-Koyukuk Census Area,Yukon-Koyukuk Census Area,38491,1654
0100000US,,United States,0400000US04,04,United States - Arizona,Arizona,50255,211
0100000US,,United States,0500000US04001,04001,United States - Arizona - Apache County,Apache County,31757,1377
0100000US,,United States,0500000US04003,04003,United States - Arizona - Cochise County,Cochise County,45075,1485
0100000US,,United States,0500000US04005,04005,United States - Arizona - Coconino County,Coconino County,50234,1876
0100000US,,United States,0500000US04007,04007,United States - Arizona - Gila County,Gila County,39751,1776
0100000US,,United States,0500000US04009,04009,United States - Arizona - Graham County,Graham County,45964,2599
0100000US,,United States,0500000US04011,04011,United States - Arizona - Greenlee County,Greenlee County,51628,5310
0100000US,,United States,0500000US04012,04012,United States - Arizona - La Paz County,La Paz County,34466,4358
0100000US,,United States,0500000US04013,04013,United States - Arizona - Maricopa County,Maricopa County,54229,365
0100000US,,United States,0500000US04015,04015,United States - Arizona - Mohave County,Mohave County,38488,1064
0100000US,,United States,0500000US04017,04017,United States - Arizona - Navajo County,Navajo County,35921,1585
0100000US,,United States,0500000US04019,04019,United States - Arizona - Pima County,Pima County,46162,620
0100000US,,United States,0500000US04021,04021,United States - Arizona - Pinal County,Pinal County,49477,1077
0100000US,,United States,0500000US04023,04023,United States - Arizona - Santa Cruz County,Santa Cruz County,40140,2637
