GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,MOE
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographical Area,Geographical Area,Median,Margin of Error
0100000US,,United States,0500000US08059,08059,United States - Colorado - Jefferson County,Jefferson County,63857,832
0100000US,,United States,0500000US08067,08067,United States - Colorado - La Plata County,La Plata County,51254,2560
0100000US,,United States,0500000US08069,08069,United States - Colorado - Larimer County,Larimer County,53502,1226
0100000US,,United States,0500000US08075,08075,United States - Colorado - Logan County,Logan County,40269,5169
0100000US,,United States,0500000US08077,08077,United States - Colorado - Mesa County,Mesa County,46490,1810
0100000US,,United States,0500000US08083,08083,United States - Colorado - Montezuma County,Montezuma County,38855,3448
0100000US,,United States,0500000US08085,08085,United States - Colorado - Montrose County,Montrose County,42618,3317
0100000US,,United States,0500000US08087,08087,United States - Colorado - Morgan County,Morgan County,41557,2322
0100000US,,United States,0500000US08101,08101,United States - Colorado - Pueblo County,Pueblo County,39570,1559
0100000US,,United States,0500000US08107,08107,United States - Colorado - Routt County,Routt County,62753,5602
0100000US,,United States,0500000US08117,08117,United States - Colorado - Summit County,Summit County,65281,6898
0100000US,,United States,0500000US08119,08119,United States - Colorado - Teller County,Teller County,60401,5803
0100000US,,United States,0500000US08123,08123,United States - Colorado - Weld County,Weld County,52457,1134
0100000US,,United States,0400000US09,09,United States - Connecticut,Connecticut,65496,462
0100000US,,United States,0500000US09001,09001,United States - Connecticut - Fairfield County,Fairfield County,78353,1178
0100000US,,United States,0500000US09003,09003,United States - Connecticut - Hartford County,Hartford County,61437,806
0100000US,,United States,0500000US09005,09005,United States - Connecticut - Litchfield County,Litchfield County,67591,1902
0100000US,,United States,0500000US09007,09007,United States - Connecticut - Middlesex County,Middlesex County,73307,1990
0100000US,,United States,0500000US09009,09009,United States - Connecticut - New Haven County,New Haven County,58528,913
0100000US,,United States,0500000US09011,09011,United States - Connecticut - New London County,New London County,61842,1290
0100000US,,United States,0500000US09013,09013,United States - Connecticut - Tolland County,Tolland County,74949,1866
0100000US,,United States,0500000US09015,09015,United States - Connecticut - Windham County,Windham County,55786,1473
0100000US,,United States,0400000US10,10,United States - Delaware,Delaware,55303,983
